city,temperature,weather_description,humidity,wind_speed,weather_datetime,region_id,region_name,carbon_intensity,carbon_forecast,carbon_average,generation_mix,carbon_datetime,latitude,longitude
Bristol,-13.56,scattered clouds,77,0.71,1/23/25 8:00,11,National,200,213.0,high,,2025-01-23T07:30Z,41.8334,-71.1662
Southampton,4.47,broken clouds,96,5.76,1/23/25 8:00,12,National,200,213.0,high,,2025-01-23T07:30Z,50.904,-1.4043
London,3.79,overcast clouds,90,2.24,1/23/25 7:55,13,National,200,213.0,high,,2025-01-23T07:30Z,51.5085,-0.1257
Brighton,4.35,broken clouds,96,0.45,1/23/25 8:00,14,National,200,213.0,high,,2025-01-23T07:30Z,50.8284,-0.1395
Leeds,2.79,broken clouds,94,2.06,1/23/25 7:59,15,National,200,213.0,high,,2025-01-23T07:30Z,53.7964,-1.5477
Glasgow,3.23,broken clouds,91,2.57,1/23/25 7:59,16,National,200,213.0,high,,2025-01-23T07:30Z,55.8652,-4.2576
Swansea,7.64,overcast clouds,92,3.13,1/23/25 8:00,17,National,200,213.0,high,,2025-01-23T07:30Z,51.6208,-3.9432
Inverness,4.54,moderate rain,91,11.83,1/24/25 22:25,1,National,69,71.0,low,,2025-01-24T21:30Z,57.4791,-4.224
Edinburgh,3.12,broken clouds,81,13.89,1/24/25 22:25,2,National,69,71.0,low,,2025-01-24T21:30Z,55.9521,-3.1965
Manchester,4.98,light rain,84,4.63,1/24/25 22:19,3,National,69,71.0,low,,2025-01-24T21:30Z,53.4809,-2.2374
Newcastle upon Tyne,5.12,clear sky,56,7.2,1/24/25 22:23,4,National,69,71.0,low,,2025-01-24T21:30Z,54.9733,-1.614
Sheffield,4.95,moderate rain,88,0.45,1/24/25 22:25,5,National,69,71.0,low,,2025-01-24T21:30Z,53.383,-1.4659
Liverpool,4.74,broken clouds,86,5.14,1/24/25 22:24,6,National,69,71.0,low,,2025-01-24T21:30Z,53.4106,-2.9779
Cardiff,6.62,broken clouds,93,6.69,1/24/25 22:25,7,National,69,71.0,low,,2025-01-24T21:30Z,51.48,-3.18
Birmingham,6.27,clear sky,33,7.2,1/24/25 22:25,8,National,69,71.0,low,,2025-01-24T21:30Z,33.5207,-86.8025
Nottingham,5.93,clear sky,75,2.06,1/24/25 22:25,9,National,69,71.0,low,,2025-01-24T21:30Z,52.9536,-1.1505
Cambridge,-8.52,overcast clouds,75,6.17,1/24/25 22:22,10,National,69,71.0,low,,2025-01-24T21:30Z,43.3601,-80.3127
Bristol,-2.3,broken clouds,53,3.13,1/24/25 22:25,11,National,69,71.0,low,,2025-01-24T21:30Z,41.8334,-71.1662
Southampton,8.96,overcast clouds,85,3.13,1/24/25 22:25,12,National,69,71.0,low,,2025-01-24T21:30Z,50.904,-1.4043
London,7.33,broken clouds,83,2.24,1/24/25 22:15,13,National,69,71.0,low,,2025-01-24T21:30Z,51.5085,-0.1257
Brighton,8.5,overcast clouds,92,0.89,1/24/25 22:21,14,National,69,71.0,low,,2025-01-24T21:30Z,50.8284,-0.1395
Leeds,4.27,light intensity shower rain,87,7.2,1/24/25 22:25,15,National,69,71.0,low,,2025-01-24T21:30Z,53.7964,-1.5477
Glasgow,3.08,broken clouds,85,15.43,1/24/25 22:25,16,National,69,71.0,low,,2025-01-24T21:30Z,55.8652,-4.2576
Swansea,5.86,overcast clouds,92,0.45,1/24/25 22:25,17,National,69,71.0,low,,2025-01-24T21:30Z,51.6208,-3.9432
Inverness,3.12,clear sky,85,11.32,1/25/25 3:23,1,National,47,41.0,low,,2025-01-25T02:30Z,57.4791,-4.224
Edinburgh,2.57,few clouds,82,9.26,1/25/25 3:22,2,National,47,41.0,low,,2025-01-25T02:30Z,55.9521,-3.1965
Manchester,2.3,broken clouds,86,2.57,1/25/25 3:16,3,National,47,41.0,low,,2025-01-25T02:30Z,53.4809,-2.2374
Newcastle upon Tyne,3.12,few clouds,70,8.75,1/25/25 3:23,4,National,47,41.0,low,,2025-01-25T02:30Z,54.9733,-1.614
Sheffield,2.15,broken clouds,90,4.5,1/25/25 3:22,5,National,47,41.0,low,,2025-01-25T02:30Z,53.383,-1.4659
Liverpool,2.1,broken clouds,82,4.12,1/25/25 3:24,6,National,47,41.0,low,,2025-01-25T02:30Z,53.4106,-2.9779
Cardiff,2.26,few clouds,90,3.09,1/25/25 3:24,7,National,47,41.0,low,,2025-01-25T02:30Z,51.48,-3.18
Birmingham,-2.19,clear sky,63,0.0,1/25/25 3:24,8,National,47,41.0,low,,2025-01-25T02:30Z,33.5207,-86.8025
Nottingham,3.16,clear sky,84,6.17,1/25/25 3:24,9,National,47,41.0,low,,2025-01-25T02:30Z,52.9536,-1.1505
Cambridge,-9.79,overcast clouds,67,3.09,1/25/25 3:21,10,National,47,41.0,low,,2025-01-25T02:30Z,43.3601,-80.3127
Bristol,-8.23,few clouds,73,0.45,1/25/25 3:19,11,National,47,41.0,low,,2025-01-25T02:30Z,41.8334,-71.1662
Southampton,6.32,overcast clouds,95,0.89,1/25/25 3:19,12,National,47,41.0,low,,2025-01-25T02:30Z,50.904,-1.4043
London,8.36,moderate rain,87,4.12,1/25/25 3:15,13,National,47,41.0,low,,2025-01-25T02:30Z,51.5085,-0.1257
Brighton,8.09,overcast clouds,91,0.45,1/25/25 3:24,14,National,47,41.0,low,,2025-01-25T02:30Z,50.8284,-0.1395
Leeds,2.74,few clouds,82,6.17,1/25/25 3:24,15,National,47,41.0,low,,2025-01-25T02:30Z,53.7964,-1.5477
Glasgow,2.76,scattered clouds,86,7.2,1/25/25 3:21,16,National,47,41.0,low,,2025-01-25T02:30Z,55.8652,-4.2576
Swansea,3.23,overcast clouds,84,1.34,1/25/25 3:24,17,National,47,41.0,low,,2025-01-25T02:30Z,51.6208,-3.9432
Inverness,4.18,broken clouds,91,4.47,1/26/25 21:17,1,National,56,72.0,low,,2025-01-26T20:30Z,57.4791,-4.224
Edinburgh,3.3,overcast clouds,87,4.63,1/26/25 21:15,2,National,56,72.0,low,,2025-01-26T20:30Z,55.9521,-3.1965
Manchester,6.84,broken clouds,88,3.09,1/26/25 21:12,3,National,56,72.0,low,,2025-01-26T20:30Z,53.4809,-2.2374
Newcastle upon Tyne,4.12,broken clouds,93,1.03,1/26/25 21:17,4,National,56,72.0,low,,2025-01-26T20:30Z,54.9733,-1.614
Sheffield,6.04,overcast clouds,91,7.21,1/26/25 21:17,5,National,56,72.0,low,,2025-01-26T20:30Z,53.383,-1.4659
Liverpool,6.24,few clouds,90,6.17,1/26/25 21:17,6,National,56,72.0,low,,2025-01-26T20:30Z,53.4106,-2.9779
Cardiff,8.13,moderate rain,91,5.14,1/26/25 21:16,7,National,56,72.0,low,,2025-01-26T20:30Z,51.48,-3.18
Birmingham,11.99,overcast clouds,54,3.09,1/26/25 21:11,8,National,56,72.0,low,,2025-01-26T20:30Z,33.5207,-86.8025
Nottingham,6.5,few clouds,88,6.69,1/26/25 21:17,9,National,56,72.0,low,,2025-01-26T20:30Z,52.9536,-1.1505
Cambridge,-3.12,overcast clouds,67,8.75,1/26/25 21:16,10,National,56,72.0,low,,2025-01-26T20:30Z,43.3601,-80.3127
Bristol,3.28,clear sky,46,5.81,1/26/25 21:17,11,National,56,72.0,low,,2025-01-26T20:30Z,41.8334,-71.1662
Southampton,8.78,moderate rain,95,6.26,1/26/25 21:17,12,National,56,72.0,low,,2025-01-26T20:30Z,50.904,-1.4043
London,8.37,scattered clouds,89,4.63,1/26/25 21:13,13,National,56,72.0,low,,2025-01-26T20:30Z,51.5085,-0.1257
Brighton,9.6,moderate rain,90,2.24,1/26/25 21:13,14,National,56,72.0,low,,2025-01-26T20:30Z,50.8284,-0.1395
Leeds,5.26,mist,97,4.63,1/26/25 21:17,15,National,56,72.0,low,,2025-01-26T20:30Z,53.7964,-1.5477
Glasgow,3.37,very heavy rain,89,6.17,1/26/25 21:13,16,National,56,72.0,low,,2025-01-26T20:30Z,55.8652,-4.2576
Swansea,7.84,moderate rain,88,4.47,1/26/25 21:16,17,National,56,72.0,low,,2025-01-26T20:30Z,51.6208,-3.9432
Inverness,4.18,overcast clouds,91,3.58,1/26/25 21:38,1,National,56,59.0,low,,2025-01-26T21:00Z,57.4791,-4.224
Edinburgh,3.3,broken clouds,87,3.09,1/26/25 21:38,2,National,56,59.0,low,,2025-01-26T21:00Z,55.9521,-3.1965
Manchester,6.84,few clouds,88,3.09,1/26/25 21:33,3,National,56,59.0,low,,2025-01-26T21:00Z,53.4809,-2.2374
Newcastle upon Tyne,4.12,broken clouds,100,2.57,1/26/25 21:38,4,National,56,59.0,low,,2025-01-26T21:00Z,54.9733,-1.614
Sheffield,6.04,overcast clouds,91,6.07,1/26/25 21:35,5,National,56,59.0,low,,2025-01-26T21:00Z,53.383,-1.4659
Liverpool,6.34,few clouds,90,6.17,1/26/25 21:31,6,National,56,59.0,low,,2025-01-26T21:00Z,53.4106,-2.9779
Cardiff,8.01,moderate rain,91,8.75,1/26/25 21:34,7,National,56,59.0,low,,2025-01-26T21:00Z,51.48,-3.18
Birmingham,11.99,overcast clouds,54,3.09,1/26/25 21:31,8,National,56,59.0,low,,2025-01-26T21:00Z,33.5207,-86.8025
Nottingham,6.47,clear sky,88,5.14,1/26/25 21:38,9,National,56,59.0,low,,2025-01-26T21:00Z,52.9536,-1.1505
Cambridge,-3.79,overcast clouds,63,8.75,1/26/25 21:38,10,National,56,59.0,low,,2025-01-26T21:00Z,43.3601,-80.3127
Bristol,2.97,clear sky,48,5.66,1/26/25 21:32,11,National,56,59.0,low,,2025-01-26T21:00Z,41.8334,-71.1662
Southampton,9.12,heavy intensity rain,91,11.32,1/26/25 21:36,12,National,56,59.0,low,,2025-01-26T21:00Z,50.904,-1.4043
London,8.51,scattered clouds,90,4.63,1/26/25 21:29,13,National,56,59.0,low,,2025-01-26T21:00Z,51.5085,-0.1257
Brighton,9.49,moderate rain,91,2.68,1/26/25 21:38,14,National,56,59.0,low,,2025-01-26T21:00Z,50.8284,-0.1395
Leeds,5.24,mist,97,5.66,1/26/25 21:38,15,National,56,59.0,low,,2025-01-26T21:00Z,53.7964,-1.5477
Glasgow,3.53,light rain,89,6.17,1/26/25 21:38,16,National,56,59.0,low,,2025-01-26T21:00Z,55.8652,-4.2576
Swansea,7.66,moderate rain,91,3.13,1/26/25 21:38,17,National,56,59.0,low,,2025-01-26T21:00Z,51.6208,-3.9432
Inverness,4.54,broken clouds,91,4.02,1/26/25 22:19,1,National,44,48.0,low,,2025-01-26T21:30Z,57.4791,-4.224
Edinburgh,3.22,light rain,88,3.09,1/26/25 22:15,2,National,44,48.0,low,,2025-01-26T21:30Z,55.9521,-3.1965
Manchester,6.84,overcast clouds,88,3.6,1/26/25 22:12,3,National,44,48.0,low,,2025-01-26T21:30Z,53.4809,-2.2374
Newcastle upon Tyne,5.12,broken clouds,93,3.6,1/26/25 22:16,4,National,44,48.0,low,,2025-01-26T21:30Z,54.9733,-1.614
Sheffield,6.01,overcast clouds,91,6.07,1/26/25 22:14,5,National,44,48.0,low,,2025-01-26T21:30Z,53.383,-1.4659
Liverpool,6.34,broken clouds,89,5.14,1/26/25 22:19,6,National,44,48.0,low,,2025-01-26T21:30Z,53.4106,-2.9779
Cardiff,6.95,moderate rain,91,6.69,1/26/25 22:19,7,National,44,48.0,low,,2025-01-26T21:30Z,51.48,-3.18
Birmingham,10.99,overcast clouds,58,1.54,1/26/25 22:20,8,National,44,48.0,low,,2025-01-26T21:30Z,52.4814,-1.8998
Nottingham,5.94,clear sky,91,4.63,1/26/25 22:17,9,National,44,48.0,low,,2025-01-26T21:30Z,52.9536,-1.1505
Cambridge,-3.73,overcast clouds,66,6.17,1/26/25 22:19,10,National,44,48.0,low,,2025-01-26T21:30Z,52.2,0.1167
Bristol,1.96,clear sky,50,3.13,1/26/25 22:20,11,National,44,48.0,low,,2025-01-26T21:30Z,51.4552,-2.5967
Southampton,8.34,heavy intensity rain,95,6.17,1/26/25 22:16,12,National,44,48.0,low,,2025-01-26T21:30Z,50.904,-1.4043
London,9.6,light rain,87,5.14,1/26/25 22:11,13,National,44,48.0,low,,2025-01-26T21:30Z,51.5085,-0.1257
Brighton,8.94,moderate rain,92,3.13,1/26/25 22:20,14,National,44,48.0,low,,2025-01-26T21:30Z,50.8284,-0.1395
